votes,no_answers,questions,links,tags
2,,Is there a way to define the boundaries of the optimal size of a training set?,/questions/1323/is-there-a-way-to-define-the-boundaries-of-the-optimal-size-of-a-training-set,"neural-networks,training,optimization"
1,,How can you simulate level of curiosity for a chat bot?,/questions/202/how-can-you-simulate-level-of-curiosity-for-a-chat-bot,"emotional-intelligence,chat-bots"
5,,Why did a Tesla car mistake a truck with a bright sky?,/questions/1488/why-did-a-tesla-car-mistake-a-truck-with-a-bright-sky,"self-driving,cars"
3,2,What is the relevance of AIXI on current artificial intelligence research?,/questions/145/what-is-the-relevance-of-aixi-on-current-artificial-intelligence-research,"models,agi"
2,,How to distinguish AI modeling from implementation?,/questions/1297/how-to-distinguish-ai-modeling-from-implementation,"models,comparison,implementation"
1,,How can you simulate level of curiosity for a chat bot?,/questions/202/how-can-you-simulate-level-of-curiosity-for-a-chat-bot,"emotional-intelligence,chat-bots"
5,,Why did a Tesla car mistake a truck with a bright sky?,/questions/1488/why-did-a-tesla-car-mistake-a-truck-with-a-bright-sky,"self-driving,cars"
0,,Which techniques can achieve neural doodle in real-time?,/questions/1537/which-techniques-can-achieve-neural-doodle-in-real-time,"research,algorithm,real-time,neural-doodle,texture-synthesis"
0,2,How to store datasets of lexical connections?,/questions/212/how-to-store-datasets-of-lexical-connections,"algorithm,models,research,storage,lexical-recognition"
0,,Simple text recognition with neural network [closed],/questions/2000/simple-text-recognition-with-neural-network,"neural-networks,machine-learning"
-1,,Bootstrapping prior to running classification learner app in Matlab [migrated],/questions/2141/bootstrapping-prior-to-running-classification-learner-app-in-matlab,"machine-learning,algorithm,classification,models"
4,,What are Hyper-heuristics?,/questions/1751/what-are-hyper-heuristics,"definitions,optimization"
3,,How can neural networks deal with varying input sizes?,/questions/2008/how-can-neural-networks-deal-with-varying-input-sizes,"neural-networks,machine-learning,deep-learning,conv-neural-network,implementation"
1,1,Difference between agent function and agent program,/questions/1756/difference-between-agent-function-and-agent-program,"definitions,models,intelligent-agent,reinforcement-learning"
1,1,Using feature learning for a medical text classification problem [closed],/questions/1784/using-feature-learning-for-a-medical-text-classification-problem,"research,deep-learning,classification,language-processing,training"
0,,Steps to learn Artificial Intelligence for beginners [closed],/questions/1913/steps-to-learn-artificial-intelligence-for-beginners,"machine-learning,self-learning,learning-algorithms,ultraintelligent-machine"
6,,Is the AI Effect caused by bad tests of intelligence?,/questions/2066/is-the-ai-effect-caused-by-bad-tests-of-intelligence,intelligence-testing
1,,Why was ELIZA able to induce “delusional thinking”?,/questions/1716/why-was-eliza-able-to-induce-delusional-thinking,"history,turing-test,emotional-intelligence,chat-bots"
5,,Do deep learning algorithms represent ensemble-based methods?,/questions/1978/do-deep-learning-algorithms-represent-ensemble-based-methods,"neural-networks,machine-learning,deep-learning,conv-neural-network"
27,,How could self-driving cars make ethical decisions about who to kill?,/questions/111/how-could-self-driving-cars-make-ethical-decisions-about-who-to-kill,"algorithm,self-driving,decision-theory,ethics"
1,2,How exactly does Angelina design games?,/questions/2021/how-exactly-does-angelina-design-games,"algorithm,gaming"
2,,What are the minimum requirements to call something artificial neural network?,/questions/1598/what-are-the-minimum-requirements-to-call-something-artificial-neural-network,"neural-networks,implementation,computer-programming"
1,,How can we build a word vector for a language?,/questions/180/how-can-we-build-a-word-vector-for-a-language,"algorithm,nlp,wordvector"
1,2,What is the purpose of the hidden layers?,/questions/42/what-is-the-purpose-of-the-hidden-layers,"hidden-layers,deep-layers"
7,2,Can artificial intelligence be thought of as optimization?,/questions/104/can-artificial-intelligence-be-thought-of-as-optimization,"optimization,agi"
1,1,How do Google cars recognize the traffic signs?,/questions/1393/how-do-google-cars-recognize-the-traffic-signs,"deep-network,image-recognition,self-driving,classification,cars"
7,2,Can artificial intelligence be thought of as optimization?,/questions/104/can-artificial-intelligence-be-thought-of-as-optimization,"optimization,agi"
6,,What is the difference between MLP and RBF?,/questions/227/what-is-the-difference-between-mlp-and-rbf,"comparison,mlp,rbf"
5,2,How can the multiple intelligences model be incorporated into AI?,/questions/179/how-can-the-multiple-intelligences-model-be-incorporated-into-ai,"emotional-intelligence,new-ai"
1,1,How do Google cars recognize the traffic signs?,/questions/1393/how-do-google-cars-recognize-the-traffic-signs,"deep-network,image-recognition,self-driving,classification,cars"
0,2,What are the most pressing fundamental questions and gaps in AI research? [closed],/questions/1433/what-are-the-most-pressing-fundamental-questions-and-gaps-in-ai-research,"research,ethics,social,reasoning"
12,3,Are there any computational models of mirror neurons?,/questions/156/are-there-any-computational-models-of-mirror-neurons,"neural-networks,models"
5,,ResNets. Ensemble or depth makes residual networks strong?,/questions/1997/resnets-ensemble-or-depth-makes-residual-networks-strong,"neural-networks,machine-learning,deep-network,deep-learning,pattern-recognition"
4,,Must people tell an AI which algorithm it should use? Can an AI learn algorithms by itself?,/questions/2033/must-people-tell-an-ai-which-algorithm-it-should-use-can-an-ai-learn-algorithms,"machine-learning,algorithm"
5,1,What is Statistical relational learning?,/questions/1706/what-is-statistical-relational-learning,"definitions,statistical-ai,srl"
-1,,Suggestion for university for PhD in computer vision [closed],/questions/2103/suggestion-for-university-for-phd-in-computer-vision,"machine-learning,image-recognition,strong-ai,computer-vision"
-1,3,What would the commercial application of a conscious AI look like/be?,/questions/2161/what-would-the-commercial-application-of-a-conscious-ai-look-like-be,"object-recognition,pattern-recognition"
0,,What is peculiar about the human brain? [migrated],/questions/2148/what-is-peculiar-about-the-human-brain,"intelligence-testing,storage"
0,,Calculate target output of neuron in hidden layers of neural network [migrated],/questions/2155/calculate-target-output-of-neuron-in-hidden-layers-of-neural-network,"neural-networks,deep-network,hidden-layers,backpropagation"
0,7,Is AI living or non-living?,/questions/2111/is-ai-living-or-non-living,"research,philosophy"
1,2,AI Completeness - Testing,/questions/2145/ai-completeness-testing,"machine-learning,deep-learning,learning-theory,incompleteness-theorems"
1,2,Why are autonomous cars categorized as AI?,/questions/2126/why-are-autonomous-cars-categorized-as-ai,"self-driving,strong-ai,cars,weak-ai"
0,,Simple text recognition with neural network [closed],/questions/2000/simple-text-recognition-with-neural-network,"neural-networks,machine-learning"
5,,References for continuous state/action spaces MDPs and Reinforcement Learning?,/questions/1733/references-for-continuous-state-action-spaces-mdps-and-reinforcement-learning,"research,reinforcement-learning,control-problem,reference-request"
4,,"How to make convnets aware what the image actually is, not what is depicted on it?",/questions/1691/how-to-make-convnets-aware-what-the-image-actually-is-not-what-is-depicted-on-i,"image-recognition,classification,conv-neural-network"
1,,What are the current approaches for AI to learn a foreign language just from English books?,/questions/1632/what-are-the-current-approaches-for-ai-to-learn-a-foreign-language-just-from-eng,"research,machine-learning,self-learning,language-processing"
5,2,What is a good way to create an artificial self-recognition?,/questions/1914/what-is-a-good-way-to-create-an-artificial-self-recognition,intelligence-testing
1,,Have any chatbots fooled the judges and won the Loebner Prize Gold medal yet?,/questions/1628/have-any-chatbots-fooled-the-judges-and-won-the-loebner-prize-gold-medal-yet,"history,turing-test,chat-bots"
0,1,How does deepmind's Atari game AI work?,/questions/1922/how-does-deepminds-atari-game-ai-work,"deep-network,deep-learning,conv-neural-network,gaming"
0,1,How does deepmind's Atari game AI work?,/questions/1922/how-does-deepminds-atari-game-ai-work,"deep-network,deep-learning,conv-neural-network,gaming"
2,,How to distinguish AI modeling from implementation?,/questions/1297/how-to-distinguish-ai-modeling-from-implementation,"models,comparison,implementation"
0,,What are the methods of optimizing overfitted models?,/questions/21/what-are-the-methods-of-optimizing-overfitted-models,"deep-network,overfitting,optimization"
1,,What would happen if someone jumped in the front of a Google car?,/questions/1318/what-would-happen-if-someone-jumped-in-the-front-of-a-google-car,"self-driving,decision-theory"
7,,How is deep learning different from other neural networks?,/questions/86/how-is-deep-learning-different-from-other-neural-networks,"neural-networks,deep-network,comparison"
11,,How could emotional intelligence be implemented?,/questions/26/how-could-emotional-intelligence-be-implemented,"turing-test,emotional-intelligence"
4,2,What kind of education/expertise is required for researchers in AI?,/questions/1432/what-kind-of-education-expertise-is-required-for-researchers-in-ai,research
3,2,What is the relevance of AIXI on current artificial intelligence research?,/questions/145/what-is-the-relevance-of-aixi-on-current-artificial-intelligence-research,"models,agi"
1,1,Which neural networks can be used only for storing and retrieving information?,/questions/1996/which-neural-networks-can-be-used-only-for-storing-and-retrieving-information,neural-networks
2,,Recurrent neural networks with hidden layer,/questions/1923/recurrent-neural-networks-with-hidden-layer,"hidden-layers,recurrent-neural-networks"
1,2,How exactly does Angelina design games?,/questions/2021/how-exactly-does-angelina-design-games,"algorithm,gaming"
3,,What is predicate argument recognition?,/questions/1678/what-is-predicate-argument-recognition,"definitions,nlp,computational-linguistics"
1,,Feasibility of sorting a basket of clothes in the real world,/questions/2055/feasibility-of-sorting-a-basket-of-clothes-in-the-real-world,"neural-networks,image-recognition"
0,,What are some techniques/method that can be used to train and detect objects like cars and humans?,/questions/1961/what-are-some-techniques-method-that-can-be-used-to-train-and-detect-objects-lik,"object-recognition,detecting-patterns"
0,,Does learning content from additional encyclopedias consume much less amount of storage?,/questions/1333/does-learning-content-from-additional-encyclopedias-consume-much-less-amount-of,"watson,storage"
5,,ResNets. Ensemble or depth makes residual networks strong?,/questions/1997/resnets-ensemble-or-depth-makes-residual-networks-strong,"neural-networks,machine-learning,deep-network,deep-learning,pattern-recognition"
3,,What jobs cannot be automatized by AI in the future?,/questions/2048/what-jobs-cannot-be-automatized-by-ai-in-the-future,"philosophy,robots"
5,,How would Deepmind's new differentiable neural computer scale?,/questions/2144/how-would-deepminds-new-differentiable-neural-computer-scale,"deep-learning,ai-design"
3,,Is there a trade-off between flexibility and efficiency?,/questions/1989/is-there-a-trade-off-between-flexibility-and-efficiency,"ai-design,strong-ai,weak-ai"
5,,ResNets. Ensemble or depth makes residual networks strong?,/questions/1997/resnets-ensemble-or-depth-makes-residual-networks-strong,"neural-networks,machine-learning,deep-network,deep-learning,pattern-recognition"
3,,Is reinforcement learning needed to create Strong AI?,/questions/1476/is-reinforcement-learning-needed-to-create-strong-ai,"philosophy,reinforcement-learning"
-1,,How does Wolfram's Image Identification Project work?,/questions/1689/how-does-wolframs-image-identification-project-work,"image-recognition,deep-learning,classification"
0,3,AIs' self-evaluation threshold,/questions/172/ais-self-evaluation-threshold,"neural-networks,machine-learning,unsupervised-learning,self-learning"
6,,What are the criteria for a system to be considered intelligent?,/questions/1648/what-are-the-criteria-for-a-system-to-be-considered-intelligent,intelligence-testing
2,,Is there any board game where a human can still beat an AI?,/questions/1568/is-there-any-board-game-where-a-human-can-still-beat-an-ai,"history,challenges,game-theory"
3,,Applications of CNN for detecting crime from video surveillance cameras,/questions/1701/applications-of-cnn-for-detecting-crime-from-video-surveillance-cameras,"conv-neural-network,computer-vision,action-recognition"
4,,Monte Carlo Tree Search: What kind of moves can easily be found and what kinds make trouble?,/questions/1815/monte-carlo-tree-search-what-kind-of-moves-can-easily-be-found-and-what-kinds-m,"gaming,monte-carlo-search"
2,,Which machine learning algorithm is used in self-driving cars?,/questions/112/which-machine-learning-algorithm-is-used-in-self-driving-cars,"deep-network,algorithm,self-driving"
7,,How close are we to creating Ex Machina?,/questions/1420/how-close-are-we-to-creating-ex-machina,"research,agi,robots"
1,,What are the real world uses for solvers?,/questions/67/what-are-the-real-world-uses-for-solvers,"sat,models"
4,,How to classify data which is spiral in shape?,/questions/1987/how-to-classify-data-which-is-spiral-in-shape,"neural-networks,classification,tensorflow"
8,,Could a Boltzmann machine store more patterns than a Hopfield net?,/questions/1525/could-a-boltzmann-machine-store-more-patterns-than-a-hopfield-net,"neural-networks,comparison,recurrent-neural-networks,associative-memory"
-1,,Which AI algorithms are used by Google for its hot internet balloons?,/questions/2015/which-ai-algorithms-are-used-by-google-for-its-hot-internet-balloons,"algorithm,reinforcement-learning"
0,,What is the Control Problem?,/questions/1518/what-is-the-control-problem,"definitions,control-problem"
0,2,Are Convolutional Neural Networks better than existing image recognition libraries that don't use CNNs?,/questions/1982/are-convolutional-neural-networks-better-than-existing-image-recognition-librari,"image-recognition,comparison,cnn"
9,,Would Google's self-driving-car stop when it sees somebody with a T-shirt with a stop sign printed on it?,/questions/1561/would-googles-self-driving-car-stop-when-it-sees-somebody-with-a-t-shirt-with-a,"self-driving,decision-theory,cars,object-recognition"
0,2,How to store datasets of lexical connections?,/questions/212/how-to-store-datasets-of-lexical-connections,"algorithm,models,research,storage,lexical-recognition"
0,1,How does deepmind's Atari game AI work?,/questions/1922/how-does-deepminds-atari-game-ai-work,"deep-network,deep-learning,conv-neural-network,gaming"
0,,Wouldn't an AI that specializes in making other AI be an AGI if they can cooperate?,/questions/2040/wouldnt-an-ai-that-specializes-in-making-other-ai-be-an-agi-if-they-can-coopera,"neural-networks,philosophy,agi"
1,,AI becoming sentient plausibility?,/questions/2131/ai-becoming-sentient-plausibility,"machine-learning,deep-learning"
20,,What is the difference between strong-AI and weak-AI?,/questions/74/what-is-the-difference-between-strong-ai-and-weak-ai,"strong-ai,weak-ai,terminology"
5,,Do deep learning algorithms represent ensemble-based methods?,/questions/1978/do-deep-learning-algorithms-represent-ensemble-based-methods,"neural-networks,machine-learning,deep-learning,conv-neural-network"
2,,What is the current state-of-the-art in Reinforcement Learning regarding data efficiency?,/questions/1416/what-is-the-current-state-of-the-art-in-reinforcement-learning-regarding-data-ef,"algorithm,research,reinforcement-learning,data-efficiency"
-1,,How does Pinterest decipher what's on unmarked pictures and categorize them?,/questions/1687/how-does-pinterest-decipher-whats-on-unmarked-pictures-and-categorize-them,"image-recognition,classification,computer-vision"
4,4,Is a genetic algorithm an example of artificial intelligence?,/questions/28/is-a-genetic-algorithm-an-example-of-artificial-intelligence,"self-learning,genetic-algorithms"
12,,Are Siri and Cortana AI programs?,/questions/1461/are-siri-and-cortana-ai-programs,"emotional-intelligence,intelligence-testing,natural-language,applications"
6,2,Is Prolog still used in AI?,/questions/1531/is-prolog-still-used-in-ai,"history,programming-languages,prolog"
4,,"How to make convnets aware what the image actually is, not what is depicted on it?",/questions/1691/how-to-make-convnets-aware-what-the-image-actually-is-not-what-is-depicted-on-i,"image-recognition,classification,conv-neural-network"
4,,How do I know when to use which Monte Carlo method?,/questions/1534/how-do-i-know-when-to-use-which-monte-carlo-method,"gaming,comparison,monte-carlo-search"
27,,How could self-driving cars make ethical decisions about who to kill?,/questions/111/how-could-self-driving-cars-make-ethical-decisions-about-who-to-kill,"algorithm,self-driving,decision-theory,ethics"
2,,What is the current state-of-the-art in Reinforcement Learning regarding data efficiency?,/questions/1416/what-is-the-current-state-of-the-art-in-reinforcement-learning-regarding-data-ef,"algorithm,research,reinforcement-learning,data-efficiency"
5,,Do deep learning algorithms represent ensemble-based methods?,/questions/1978/do-deep-learning-algorithms-represent-ensemble-based-methods,"neural-networks,machine-learning,deep-learning,conv-neural-network"
6,2,Is Prolog still used in AI?,/questions/1531/is-prolog-still-used-in-ai,"history,programming-languages,prolog"
0,,Steps to learn Artificial Intelligence for beginners [closed],/questions/1913/steps-to-learn-artificial-intelligence-for-beginners,"machine-learning,self-learning,learning-algorithms,ultraintelligent-machine"
2,2,When we create artificial life and artificial intelligence will we require it to obey human laws?,/questions/1939/when-we-create-artificial-life-and-artificial-intelligence-will-we-require-it-to,"philosophy,legal"
1,2,AI Completeness - Testing,/questions/2145/ai-completeness-testing,"machine-learning,deep-learning,learning-theory,incompleteness-theorems"
3,,Why would neural network dream scenes mirror the hallucinations people experience when they're tripping?,/questions/167/why-would-neural-network-dream-scenes-mirror-the-hallucinations-people-experienc,"conv-neural-network,deepdream,computer-vision,deepdreaming"
4,,Monte Carlo Tree Search: What kind of moves can easily be found and what kinds make trouble?,/questions/1815/monte-carlo-tree-search-what-kind-of-moves-can-easily-be-found-and-what-kinds-m,"gaming,monte-carlo-search"
2,2,Does a quantum computer resolve the halting problem and would that advance strong AI? [duplicate],/questions/186/does-a-quantum-computer-resolve-the-halting-problem-and-would-that-advance-stron,"quantum-computing,halting-problem,strong-ai"
-5,,What are the approaches to predict sequence of π numbers? [closed],/questions/225/what-are-the-approaches-to-predict-sequence-of-%cf%80-numbers,"training,math,recurrent-neural-networks"
6,1,Selecting the right technique to predict disease from symptoms,/questions/1705/selecting-the-right-technique-to-predict-disease-from-symptoms,"algorithm,machine-learning,prediction"
0,,"What is the difference between abstract, autonomous and virtual intelligent agents?",/questions/1515/what-is-the-difference-between-abstract-autonomous-and-virtual-intelligent-agen,"comparison,intelligent-agent,definitions"
1,2,Is it possible for visual systems in AI to have Inattentional Blindness?,/questions/1924/is-it-possible-for-visual-systems-in-ai-to-have-inattentional-blindness,image-recognition
0,,How does Google's self-driving car identify pedestrians? [closed],/questions/1560/how-does-googles-self-driving-car-identify-pedestrians,"self-driving,cars,object-recognition"
0,,What's the most suitable format to store huge number of neurons states? [closed],/questions/210/whats-the-most-suitable-format-to-store-huge-number-of-neurons-states,"export,storage"
1,1,What can be done to correct for sampling bias introduced from (noisy) training data while training a DNN?,/questions/1710/what-can-be-done-to-correct-for-sampling-bias-introduced-from-noisy-training-d,"neural-networks,deep-network,training"
4,,What is the calcium equivalent role in neural networks,/questions/2023/what-is-the-calcium-equivalent-role-in-neural-networks,"philosophy,unsupervised-learning,neurons"
1,1,What is the most abstract concept learned by a deep neural network?,/questions/2107/what-is-the-most-abstract-concept-learned-by-a-deep-neural-network,deep-learning
15,2,"Is the Turing Test, or any of its variants, a reliable test of artificial intelligence?",/questions/15/is-the-turing-test-or-any-of-its-variants-a-reliable-test-of-artificial-intell,"turing-test,strong-ai,intelligent-agent,weak-ai"
0,,Steps to learn Artificial Intelligence for beginners [closed],/questions/1913/steps-to-learn-artificial-intelligence-for-beginners,"machine-learning,self-learning,learning-algorithms,ultraintelligent-machine"
4,,Why does my NN not classify these tic tac toe pattern correctly? [closed],/questions/1570/why-does-my-nn-not-classify-these-tic-tac-toe-pattern-correctly,"classification,keras"
11,,What is the concept of the technological singularity?,/questions/17/what-is-the-concept-of-the-technological-singularity,"self-learning,singularity"
13,,Has the Lovelace Test 2.0 been successfully used in an academic setting?,/questions/1451/has-the-lovelace-test-2-0-been-successfully-used-in-an-academic-setting,"history,intelligence-testing"
13,,Has the Lovelace Test 2.0 been successfully used in an academic setting?,/questions/1451/has-the-lovelace-test-2-0-been-successfully-used-in-an-academic-setting,"history,intelligence-testing"
1,,Is it possible to cheat facial recognition algorithm?,/questions/1493/is-it-possible-to-cheat-facial-recognition-algorithm,"conv-neural-network,facial-recognition"
0,,Why did AlphaGo lose its Go game?,/questions/1492/why-did-alphago-lose-its-go-game,"gaming,deepmind"
3,,What is meant by death in this paper?,/questions/1404/what-is-meant-by-death-in-this-paper,"research,definitions,death"
10,3,"Has anyone thought about making a neural network ask questions, instead of only answering them?",/questions/1953/has-anyone-thought-about-making-a-neural-network-ask-questions-instead-of-only,"neural-networks,deep-learning"
1,,Can PHP be considered as a serious programming language for AI? [closed],/questions/1303/can-php-be-considered-as-a-serious-programming-language-for-ai,"neural-networks,programming-languages"
3,,How can artificial intelligence (including deep learning algorithms) find suspicious patterns in the body’s biochemistry?,/questions/1614/how-can-artificial-intelligence-including-deep-learning-algorithms-find-suspic,"deep-learning,healthcare,learning-algorithms,biochemistry"
9,1,AGI official government reports or regulations already in place,/questions/1731/agi-official-government-reports-or-regulations-already-in-place,"agi,legal"
3,,Is AI programming useful in everyday programs?,/questions/2092/is-ai-programming-useful-in-everyday-programs,"self-learning,applications,learning-theory"
1,,Is it possible to apply deep dream technique for the audio streams?,/questions/159/is-it-possible-to-apply-deep-dream-technique-for-the-audio-streams,"conv-neural-network,media,deepdreaming"
4,,How do I know when to use which Monte Carlo method?,/questions/1534/how-do-i-know-when-to-use-which-monte-carlo-method,"gaming,comparison,monte-carlo-search"
1,,What are the challenges for recognising the handwritten characters?,/questions/169/what-are-the-challenges-for-recognising-the-handwritten-characters,"quantum-computing,handwritten-characters,ocr"
2,2,Can we ever achieve hypercomputation using recurrent neural networks?,/questions/147/can-we-ever-achieve-hypercomputation-using-recurrent-neural-networks,"neural-networks,hypercomputation,recurrent-neural-networks"
0,,Which techniques can achieve neural doodle in real-time?,/questions/1537/which-techniques-can-achieve-neural-doodle-in-real-time,"research,algorithm,real-time,neural-doodle,texture-synthesis"
3,,What are the minimum requirements to call something AI?,/questions/1507/what-are-the-minimum-requirements-to-call-something-ai,definitions
5,1,"How good is AI at generating new, unseen [visual] examples?",/questions/1750/how-good-is-ai-at-generating-new-unseen-visual-examples,"research,image-recognition"
-2,1,How many neurons would a network have after a training of 100k small images?,/questions/1480/how-many-neurons-would-a-network-have-after-a-training-of-100k-small-images,"deep-network,image-recognition,deep-learning,datasets"
-2,2,Are there any artificial intelligence systems with an internal dialectical approach and multiple minds which develop within a community of nodes?,/questions/2012/are-there-any-artificial-intelligence-systems-with-an-internal-dialectical-appro,philosophy
0,,"When using neural networks to detect features in an image, how can locate that specific feature in the original image?",/questions/2037/when-using-neural-networks-to-detect-features-in-an-image-how-can-locate-that-s,"neural-networks,deep-learning,conv-neural-network,computer-vision"
8,,Differences between backpropagation techniques [closed],/questions/1851/differences-between-backpropagation-techniques,"neural-networks,machine-learning,backpropagation"
1,,How successfully can convnets detect NSFW images?,/questions/1478/how-successfully-can-convnets-detect-nsfw-images,"image-recognition,classification,conv-neural-network"
4,3,Do specific units exists for measuring the intelligence of a machine?,/questions/1410/do-specific-units-exists-for-measuring-the-intelligence-of-a-machine,"machine-learning,classification,intelligence-testing"
10,,Are there any AI that have passed the MIST test so far?,/questions/1397/are-there-any-ai-that-have-passed-the-mist-test-so-far,"history,intelligence-testing,turing-test,chat-bots"
0,,How to separate image recognition from logic?,/questions/1485/how-to-separate-image-recognition-from-logic,"neural-networks,conv-neural-network,gaming"
1,,How to deal with huge branching factors in real-time?,/questions/1491/how-to-deal-with-huge-branching-factors-in-real-time,"gaming,branching-factors,real-time"
2,,Predicting chemical reactions using AI,/questions/1390/predicting-chemical-reactions-using-ai,"deep-learning,research,prediction"
1,,Are FFNN (MLP) Lipschitz functions?,/questions/1925/are-ffnn-mlp-lipschitz-functions,"neural-networks,optimization,math"
12,,Is Lisp still being used to tackle AI problems?,/questions/77/is-lisp-still-being-used-to-tackle-ai-problems,"history,programming-languages,lisp"
2,,Which learning algorithms are suitable for data leakage detection and prevention?,/questions/1603/which-learning-algorithms-are-suitable-for-data-leakage-detection-and-prevention,"digital-security,learning-algorithms"
-3,1,What's the state of the art w.r.t research on the legal aspects of Artificial Intelligence? [closed],/questions/75/whats-the-state-of-the-art-w-r-t-research-on-the-legal-aspects-of-artificial-in,legal
5,2,What are the limits to what can be learnt using a backpropagation neural network?,/questions/247/what-are-the-limits-to-what-can-be-learnt-using-a-backpropagation-neural-network,"neural-networks,machine-learning,backpropagation,learning-theory"
5,,Why is the generation of deep style images so slow and resource-hungry?,/questions/152/why-is-the-generation-of-deep-style-images-so-slow-and-resource-hungry,"performance,neural-doodle,deepdreaming"
10,1,How does “Monte-Carlo search” work?,/questions/1358/how-does-monte-carlo-search-work,"gaming,monte-carlo-search"
16,,To what extent can quantum computers help to develop Artificial Intelligence?,/questions/36/to-what-extent-can-quantum-computers-help-to-develop-artificial-intelligence,quantum-computing
2,,What is the current state-of-the-art in Reinforcement Learning regarding data efficiency?,/questions/1416/what-is-the-current-state-of-the-art-in-reinforcement-learning-regarding-data-ef,"algorithm,research,reinforcement-learning,data-efficiency"
-4,,Is Deep Blue superintelligent or not? [closed],/questions/1431/is-deep-blue-superintelligent-or-not,"definitions,deep-blue"
4,,"How to make convnets aware what the image actually is, not what is depicted on it?",/questions/1691/how-to-make-convnets-aware-what-the-image-actually-is-not-what-is-depicted-on-i,"image-recognition,classification,conv-neural-network"
1,1,How do Google cars recognize the traffic signs?,/questions/1393/how-do-google-cars-recognize-the-traffic-signs,"deep-network,image-recognition,self-driving,classification,cars"
2,2,If IQ is used as a measure of intelligence in humans could it also be used as a measure of intelligence in machines?,/questions/1969/if-iq-is-used-as-a-measure-of-intelligence-in-humans-could-it-also-be-used-as-a,philosophy
3,,How can neural networks deal with varying input sizes?,/questions/2008/how-can-neural-networks-deal-with-varying-input-sizes,"neural-networks,machine-learning,deep-learning,conv-neural-network,implementation"
3,1,How to replicate legacy systems with machine learning?,/questions/1841/how-to-replicate-legacy-systems-with-machine-learning,machine-learning
3,,How to classify language as friendly or aggressive with AI?,/questions/1458/how-to-classify-language-as-friendly-or-aggressive-with-ai,"classification,datasets"
10,,Are there any AI that have passed the MIST test so far?,/questions/1397/are-there-any-ai-that-have-passed-the-mist-test-so-far,"history,intelligence-testing,turing-test,chat-bots"
2,1,Did Minsky & Papert know that multilayer perceptrons could solve XOR?,/questions/1288/did-minsky-papert-know-that-multilayer-perceptrons-could-solve-xor,"neural-networks,history"
15,,Do scientists know what is happening inside artificial neural networks?,/questions/1479/do-scientists-know-what-is-happening-inside-artificial-neural-networks,"neural-networks,deep-learning,conv-neural-network"
0,,What are the benefits of the VGDL over the ALE?,/questions/1490/what-are-the-benefits-of-the-vgdl-over-the-ale,"agi,gaming"
5,,"Are there any textual CAPTCHA challenges which can fool AI, but not human?",/questions/1354/are-there-any-textual-captcha-challenges-which-can-fool-ai-but-not-human,"image-recognition,research,ocr,captcha,obfuscation"
1,,Are ANNs just highly distributed lossy compression schemes?,/questions/1895/are-anns-just-highly-distributed-lossy-compression-schemes,"neural-networks,lossy-compression,compression"
0,,Combination of Gibbs sampling and Gradient descent [migrated],/questions/2071/combination-of-gibbs-sampling-and-gradient-descent,"optimization,statistical-ai"
9,,Why can't OCR be perceived as a good example of AI?,/questions/1396/why-cant-ocr-be-perceived-as-a-good-example-of-ai,ocr
1,1,What AI concept is behind the Mars Exploration Rover (MER)?,/questions/1955/what-ai-concept-is-behind-the-mars-exploration-rover-mer,"control-problem,robotics,nasa"
3,1,Is anybody still researching GOFAI?,/questions/1906/is-anybody-still-researching-gofai,"gofai,symbolic-computing"
-1,3,What would the commercial application of a conscious AI look like/be?,/questions/2161/what-would-the-commercial-application-of-a-conscious-ai-look-like-be,"object-recognition,pattern-recognition"
2,2,How do autonomous robotic vacuum cleaners perceive the environment for navigation?,/questions/1613/how-do-autonomous-robotic-vacuum-cleaners-perceive-the-environment-for-navigatio,"real-time,path-planning,robotics,navigation-systems"
2,,What is the difference between Artificial Intelligence and Cognitive Science?,/questions/1847/what-is-the-difference-between-artificial-intelligence-and-cognitive-science,"terminology,cognitive-science"
2,,Can ConvNets be used for real-time object recognition from video feed?,/questions/1453/can-convnets-be-used-for-real-time-object-recognition-from-video-feed,"conv-neural-network,classification,performance,real-time"
2,,How does the Jetson AI write its screenplays?,/questions/1381/how-does-the-jetson-ai-write-its-screenplays,algorithm
3,,What is meant by death in this paper?,/questions/1404/what-is-meant-by-death-in-this-paper,"research,definitions,death"
-1,,How does Wolfram's Image Identification Project work?,/questions/1689/how-does-wolframs-image-identification-project-work,"image-recognition,deep-learning,classification"
2,,Are there any learning algorithms as powerful as “deep” architectures?,/questions/1384/are-there-any-learning-algorithms-as-powerful-as-deep-architectures,"deep-network,comparison,architecture"
1,1,"Can we create AI to not only recognize itself, but to recognize other AI systems as well?",/questions/1965/can-we-create-ai-to-not-only-recognize-itself-but-to-recognize-other-ai-systems,philosophy
5,,ResNets. Ensemble or depth makes residual networks strong?,/questions/1997/resnets-ensemble-or-depth-makes-residual-networks-strong,"neural-networks,machine-learning,deep-network,deep-learning,pattern-recognition"
2,1,How to represent a large decision tree?,/questions/1783/how-to-represent-a-large-decision-tree,"machine-learning,decision-theory,implementation"
2,,Can ConvNets be used for real-time object recognition from video feed?,/questions/1453/can-convnets-be-used-for-real-time-object-recognition-from-video-feed,"conv-neural-network,classification,performance,real-time"
8,,How can the EQ of an AI program be measured?,/questions/1357/how-can-the-eq-of-an-ai-program-be-measured,"emotional-intelligence,intelligence-testing"
